Assignment
ν NH(100)
ν NH(100)
ν CH(88)
ν CH(95)
ν CH(87)
ν CH(95)
ν CH(98)
ν CH(79) ν CH(18)
ν CH(17) ν CH(82)
ν CH(100)
ν CH(98)
ν CH(11) ν CH(88)
ν CH(93)
ν CH(87) ν CH(12)
ν CH(94)
ν CH(86)
ν CH(99)
ν CH(93)
ν CH(12) ν CH(87)
ν CH(99)
ν CH(94)
ν CH(88) ν CH(11)
ν CH(93)
ν OC(78)
ν CC(64) β HCC(21)
ν CC(38)
ν CC(23) β CCC(11)
ν NC(22) β HNC(14)
ν CC(53)
ν NC(59) β HNC(14)
ν NC(48) ν NC(14)
β HCC(53) β CCC(11)
β HCH(60) δ HCCC(13)
β HCH(48)
β HCH(49) δ HCNC(16)
β HCH(72) δ HCCN(21)
β HCH(46)
β HNC(44) β HCN(16)
β HCC(14) β HCH(14)
ν CC(13) β HCC(21)
β HCH(11) β HCH(47) δ HCCN(13)
β HCH(61)
ν CC(13) β HCC(21)
ν NC(15) β HCN(18)
β HNC(17) β HCH(18)
β HCH(70)
ν NC(12) β HCH(39) δ HCNC(14)
β HCN(23) δ HCNC(13)
β HCH(12) β HCH(28) δ HCNC(34)
β HNC(11) β HCO(16)
ν OC(14) β HCO(17) β HCN(24)
ν CC(11) β HCC(78)
ν NC(22) β HNC(15) β HCH(12)
β HCN(17) β HCN(11)
ν CC(48) β HCC(14)
β HCO(30) β NCN(11) δ HCOC(22)
ν CC(49) β HCC(11)
β HCN(17) δ HCNC(13)
ν CC(12) ν CC(22)
ν CC(13) β HCC(25)
ν NC(24) β HCN(16) β HCN(16)
ν NC(18) ν NC(22)
ν CC(51) β HCC(19)
ν CC(22) β HCC(73)
ν CC(17) β HCC(50)
ν CC(11) β HCC(77)
ν NC(49)
ν NC(47)
ν CC(11) β CCC(11) β HCC(11)
ν CC(20) ν CC(16) β HCC(11)
ν CC(27) β HCC(29)
δ CCNC(11)
ν OC(25)
δ HCCC(44)
β HCH(20) δ HCCN(55)
ν CC(24) β HCC(18)
ν OC(15)
β CCC(59)
β HCH(12) δ HCCN(38)
ν CC(42) δ HCCC(14) δ HCCC(15)
δ HCNC(77) δ CNCN(17)
ν NC(35) β NCN(34)
δ HCCC(67) δ CCCC(28)
δ HCCC(28)
δ HCCC(46)
δ HCCC(85) δ CCCC(15)
δ HCCC(77)
δ HCCC(73)
ν CC(49)
ν CC(11) ν CC(15) δ HCNC(12)
δ HCCC(95)
ν CC(27) β CCC(16)
δ CNCN(83)
β CCC(15)
β CCC(25)
δ HCCC(54)
δ HCCC(14) δ HCCC(17) δ CCCC(33)
ν CC(48)
κ  NNNC(86)
δ HCCC(14) δ CCCC(48)
δ HCCC(61) δ CCCC(14)
ν CC(11) β CCC(18) β CCO(11) δ HCCC(13)
β NCN(55)
δ HNCC(79)
β CCC(31) β CCC(21) β CCC(12)
β CCC(48)
β COC(38)
ν CC(13) β CCC(22)
β CCO(16) δ CCCC(11)
β CCO(17)
κ  OCNC(62)
κ  OCNC(12)
ν CC(16) β CCC(13)
β CCO(11) β CCN(18) δ HCNC(12)
δ HCCC(11) δ CCCC(62)
β CCO(17) δ HNCN(46)
β CCO(55) δ HNCN(21)
δ HCNC(16) δ CNCN(54)
β CCC(27)
β COC(24)
δ HCCC(13) δ CCCC(76)
β CCN(39)
β CCC(13) β CCN(12) δ CCCC(20)
β CCO(16) β CCC(16)
β CNC(12) β CCC(17) δ CCCC(13)
β CNC(42)
ν CC(13)
δ CCCC(17)
β CNC(18) δ CNCN(15)
β CCC(14) δ CCCC(11)
β NCN(34) κ  CCCC(12)
δ CNCN(39)
δ CNCN(51)
δ HCCN(38)
δ HCCN(45)
δ HCCC(14) δ CCCC(11) δ CCCC(11) κ  CCCC(21)
β CCC(21) δ CCCC(47)
δ CCNC(41)
δ CCCC(12) δ CCNC(40)
δ CCCC(23) δ CCNC(20)
δ COCN(63)
δ CCNC(69)
δ CCCC(61)
δ CCNC(11) δ CCNC(64)
δ CCNC(50)
δ CCOC(62)
δ CCOC(61)
